Race,Party,Seats,% Precincts Reporting
STATE REPRESENTATIVE,Dem,66,100%
STATE REPRESENTATIVE,GOP,57,100%
STATE REPRESENTATIVE,Prog,9,100%
STATE REPRESENTATIVE,Other,17,100%
STATE REPRESENTATIVE,Undecided,1,100%
