City/Town,Leading Candidate,Rachel Shaw (P),Write-Ins,Blanks,Overvotes,Total Votes Cast,Rachel Shaw (P) Percent Votes Cast,Overvotes Percent
Greensboro,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Groton,Rachel Shaw (P),2,0,0,0,2,100.00%,0.00%
Guildhall,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Guilford,Rachel Shaw (P),1,0,2,0,3,33.33%,0.00%
Halifax,Rachel Shaw (P),0,1,0,0,1,0.00%,0.00%
Hancock,,0,0,0,0,0,0.00%,0.00%
Hardwick,,0,0,0,0,0,0.00%,0.00%
Hartford,Rachel Shaw (P),3,2,1,0,6,50.00%,0.00%
Hartland,Rachel Shaw (P),2,0,3,0,5,40.00%,0.00%
Highgate,Rachel Shaw (P),2,1,0,0,3,66.67%,0.00%
Hinesburg,,0,0,0,0,0,0.00%,0.00%
Holland,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Hubbardton,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Huntington,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Hyde Park,Rachel Shaw (P),1,0,1,0,2,50.00%,0.00%
Ira,,0,0,0,0,0,0.00%,0.00%
Irasburg,,0,0,0,0,0,0.00%,0.00%
Isle La Motte,,0,0,0,0,0,0.00%,0.00%
Jamaica,Rachel Shaw (P),2,0,0,0,2,100.00%,0.00%
Jay,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Jericho,Rachel Shaw (P),3,1,0,0,4,75.00%,0.00%
Johnson,Rachel Shaw (P),2,0,0,0,2,100.00%,0.00%
Killington,Rachel Shaw (P),2,0,3,0,5,40.00%,0.00%
Kirby,,0,0,0,0,0,0.00%,0.00%
Landgrove,,0,0,0,0,0,0.00%,0.00%
Leicester,,0,0,0,0,0,0.00%,0.00%
Lemington,,0,0,0,0,0,0.00%,0.00%
Lincoln,,0,0,0,0,0,0.00%,0.00%
Londonderry,,0,0,0,0,0,0.00%,0.00%
Lowell,Rachel Shaw (P),0,1,0,0,1,0.00%,0.00%
Ludlow,Rachel Shaw (P),3,0,0,0,3,100.00%,0.00%
Lunenburg,Rachel Shaw (P),0,0,1,0,1,0.00%,0.00%
Lyndon,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Maidstone,,0,0,0,0,0,0.00%,0.00%
Manchester,Rachel Shaw (P),2,0,1,0,3,66.67%,0.00%
Marlboro,,0,0,0,0,0,0.00%,0.00%
Marshfield,Rachel Shaw (P),3,2,0,0,5,60.00%,0.00%
Mendon,,0,0,0,0,0,0.00%,0.00%
Middlebury,,0,0,0,0,0,0.00%,0.00%
Middletown Springs,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Milton,Rachel Shaw (P),6,0,1,0,7,85.71%,0.00%
Monkton,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Montgomery,Rachel Shaw (P),3,0,0,0,3,100.00%,0.00%
Montpelier,Rachel Shaw (P),9,0,2,0,11,81.82%,0.00%
Moretown,Rachel Shaw (P),1,2,2,0,5,20.00%,0.00%
Morgan,,0,0,0,0,0,0.00%,0.00%
Morristown,Rachel Shaw (P),0,0,1,0,1,0.00%,0.00%
Mount Holly,,0,0,0,0,0,0.00%,0.00%
Mount Tabor,,0,0,0,0,0,0.00%,0.00%
New Haven,,0,0,0,0,0,0.00%,0.00%
Newark,Rachel Shaw (P),3,0,2,0,5,60.00%,0.00%
Newbury,Rachel Shaw (P),1,1,1,0,3,33.33%,0.00%
Newport City,,0,0,0,0,0,0.00%,0.00%
Newport Town,Rachel Shaw (P),2,1,0,0,3,66.67%,0.00%
North Hero,,0,0,0,0,0,0.00%,0.00%
Northfield,Rachel Shaw (P),3,0,1,0,4,75.00%,0.00%
Norton,,0,0,0,0,0,0.00%,0.00%
Norwich,Rachel Shaw (P),3,0,1,0,4,75.00%,0.00%
Orange,,0,0,0,0,0,0.00%,0.00%
Orwell,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Panton,,0,0,0,0,0,0.00%,0.00%
Pawlet,,0,0,0,0,0,0.00%,0.00%
Peacham,Rachel Shaw (P),1,2,0,0,3,33.33%,0.00%
Peru,,0,0,0,0,0,0.00%,0.00%
Pittsfield,,0,0,0,0,0,0.00%,0.00%
Pittsford,Rachel Shaw (P),3,0,2,0,5,60.00%,0.00%
Plainfield,,0,0,0,0,0,0.00%,0.00%
Plymouth,,0,0,0,0,0,0.00%,0.00%
Pomfret,,0,0,0,0,0,0.00%,0.00%
Poultney,,0,0,0,0,0,0.00%,0.00%
Pownal,Rachel Shaw (P),4,0,1,0,5,80.00%,0.00%
Proctor,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Putney,Rachel Shaw (P),1,0,1,0,2,50.00%,0.00%
Randolph,Rachel Shaw (P),3,0,1,0,4,75.00%,0.00%
Reading,,0,0,0,0,0,0.00%,0.00%
Readsboro,Rachel Shaw (P),2,0,1,0,3,66.67%,0.00%
Richford,Rachel Shaw (P),2,0,0,0,2,100.00%,0.00%
Richmond,,0,0,0,0,0,0.00%,0.00%
Ripton,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Rochester,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Rockingham,Rachel Shaw (P),4,0,0,0,4,100.00%,0.00%
Roxbury,,0,0,0,0,0,0.00%,0.00%
Royalton,Rachel Shaw (P),1,1,0,0,2,50.00%,0.00%
Rupert,,0,0,0,0,0,0.00%,0.00%
Rutland City,Rachel Shaw (P),7,0,1,0,8,87.50%,0.00%
Rutland Town,Rachel Shaw (P),1,1,2,0,4,25.00%,0.00%
Ryegate,Rachel Shaw (P),3,1,0,0,4,75.00%,0.00%
Saint Albans City,Rachel Shaw (P),4,0,0,0,4,100.00%,0.00%
Saint Albans Town,Rachel Shaw (P),4,0,2,0,6,66.67%,0.00%
Saint George,,0,0,0,0,0,0.00%,0.00%
Saint Johnsbury,Rachel Shaw (P),7,2,1,0,10,70.00%,0.00%
Salisbury,,0,0,0,0,0,0.00%,0.00%
Sandgate,,0,0,0,0,0,0.00%,0.00%
Searsburg,,0,0,0,0,0,0.00%,0.00%
Shaftsbury,Rachel Shaw (P),4,1,0,0,5,80.00%,0.00%
Sharon,Rachel Shaw (P),1,1,0,0,2,50.00%,0.00%
Sheffield,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
Shelburne,Rachel Shaw (P),3,1,1,0,5,60.00%,0.00%
Sheldon,,0,0,0,0,0,0.00%,0.00%
Shoreham,,0,0,0,0,0,0.00%,0.00%
Shrewsbury,Rachel Shaw (P),1,0,0,0,1,100.00%,0.00%
