Race,County,District,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-4,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-4,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-4,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-WASHINGTON,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-WASHINGTON,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,CALEDONIA-WASHINGTON,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA-ORLEANS,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA-ORLEANS,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ESSEX-CALEDONIA-ORLEANS,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORANGE-CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORANGE-CALEDONIA,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORANGE-CALEDONIA,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORLEANS-CALEDONIA,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORLEANS-CALEDONIA,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CALEDONIA,ORLEANS-CALEDONIA,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 10,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 10,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 10,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 4-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 4-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 4-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 4-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 4-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 4-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 5-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 5-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 5-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 5-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 5-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 5-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-4,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-4,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-4,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-5,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-5,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-5,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-6,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-6,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-6,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-7,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-7,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 6-7,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-4,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-4,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 7-4,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-3,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 8-3,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 9-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 9-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 9-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 9-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 9-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN 9-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-1,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-1,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-1,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-2,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-2,CRIS ERICSON,Prog,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-2,H. BROOKE PAIGE,GOP,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-3,T.J. DONOVAN,Dem,0%,0,0,275,false
ATTORNEY GENERAL,CHITTENDEN,CHITTENDEN-3,CRIS ERICSON,Prog,0%,0,0,275,false
