City/Town,Leading Candidate,Douglas E. DiSabito (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Douglas E. DiSabito (D) Percent Votes Cast,Overvotes Percent
Alburgh,Douglas E. DiSabito (D),45,0,5,8,58,77.59%,13.79%
Grand Isle,Douglas E. DiSabito (D),36,0,3,1,40,90.00%,2.50%
Isle La Motte,Douglas E. DiSabito (D),66,6,3,7,82,80.49%,8.54%
North Hero,Douglas E. DiSabito (D),4,5,1,2,12,33.33%,16.67%
South Hero,Douglas E. DiSabito (D),45,9,6,2,62,72.58%,3.23%
