City/Town,Leading Candidate,Vincent Illuzzi (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Vincent Illuzzi (R) Percent Votes Cast,Overvotes Percent
Bloomfield,Vincent Illuzzi (R),8,0,0,0,8,100.00%,0.00%
Brighton,Vincent Illuzzi (R),54,0,10,0,64,84.38%,0.00%
Brunswick,Vincent Illuzzi (R),4,0,1,0,5,80.00%,0.00%
Canaan,Vincent Illuzzi (R),38,0,8,0,46,82.61%,0.00%
Concord,Vincent Illuzzi (R),67,1,3,0,71,94.37%,0.00%
East Haven,Vincent Illuzzi (R),15,0,3,0,18,83.33%,0.00%
Granby,Vincent Illuzzi (R),4,0,2,0,6,66.67%,0.00%
Guildhall,Vincent Illuzzi (R),27,0,8,0,35,77.14%,0.00%
Lemington,Vincent Illuzzi (R),2,0,1,0,3,66.67%,0.00%
Lunenburg,Vincent Illuzzi (R),72,7,15,0,94,76.60%,0.00%
Maidstone,Vincent Illuzzi (R),19,0,2,0,21,90.48%,0.00%
Norton,Vincent Illuzzi (R),15,2,2,0,19,78.95%,0.00%
Victory,Vincent Illuzzi (R),15,0,10,0,25,60.00%,0.00%
