Race,Party,Seats,% Precincts Reporting
STATE SENATOR,Dem,11,100%
STATE SENATOR,GOP,11,100%
STATE SENATOR,Prog,2,100%
STATE SENATOR,Other,6,100%
STATE SENATOR,Undecided,0,100%
STATE REPRESENTATIVE,Dem,71,100%
STATE REPRESENTATIVE,GOP,51,100%
STATE REPRESENTATIVE,Prog,12,100%
STATE REPRESENTATIVE,Other,16,100%
STATE REPRESENTATIVE,Undecided,0,100%
