Race,Party,Seats,% Precincts Reporting
STATE REPRESENTATIVE,Dem,79,47%
STATE REPRESENTATIVE,GOP,20,47%
STATE REPRESENTATIVE,Prog,0,47%
STATE REPRESENTATIVE,Other,0,47%
STATE REPRESENTATIVE,Undecided,51,47%
