Race,Party,Seats,% Precincts Reporting
STATE SENATOR,Dem,16,93%
STATE SENATOR,GOP,13,93%
STATE SENATOR,Prog,1,93%
STATE SENATOR,Other,0,93%
STATE SENATOR,Undecided,0,93%
