Race,Party,Seats,% Precincts Reporting
STATE SENATOR,Dem,19,20%
STATE SENATOR,GOP,7,20%
STATE SENATOR,Prog,0,20%
STATE SENATOR,Other,0,20%
STATE SENATOR,Undecided,4,20%
