Race,Party,Seats,% Precincts Reporting
STATE REPRESENTATIVE,Dem,6,8%
STATE REPRESENTATIVE,GOP,7,8%
STATE REPRESENTATIVE,Prog,0,8%
STATE REPRESENTATIVE,Other,1,8%
STATE REPRESENTATIVE,Undecided,136,8%
