Race,Party,Seats,% Precincts Reporting
STATE SENATOR,Dem,20,25%
STATE SENATOR,GOP,9,25%
STATE SENATOR,Prog,0,25%
STATE SENATOR,Other,0,25%
STATE SENATOR,Undecided,1,25%
