Race,Party,Seats,% Precincts Reporting
STATE REPRESENTATIVE,Dem,76,99%
STATE REPRESENTATIVE,GOP,28,99%
STATE REPRESENTATIVE,Prog,2,99%
STATE REPRESENTATIVE,Other,3,99%
STATE REPRESENTATIVE,Undecided,41,99%
