Race,Party,Seats,% Precincts Reporting
STATE SENATOR,Dem,5,100%
STATE SENATOR,GOP,16,100%
STATE SENATOR,Prog,1,100%
STATE SENATOR,Other,8,100%
STATE SENATOR,Undecided,0,100%
