Race,Party,Seats,% Precincts Reporting
STATE SENATOR,Dem,22,99%
STATE SENATOR,GOP,7,99%
STATE SENATOR,Prog,1,99%
STATE SENATOR,Other,0,99%
STATE SENATOR,Undecided,0,99%
